team,wins,losses,division,conference
BOSTON CELTICS,64,18,ATLANTIC,EASTERN
NEW YORK KNICKS,50,32,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,47,35,ATLANTIC,EASTERN
BROOKLYN NETS,32,50,ATLANTIC,EASTERN
TORONTO RAPTORS,25,57,ATLANTIC,EASTERN
MILWAUKEE BUCKS,49,33,CENTRAL,EASTERN
CLEVELAND CAVALIERS,48,34,CENTRAL,EASTERN
INDIANA PACERS,47,35,CENTRAL,EASTERN
CHICAGO BULLS,39,43,CENTRAL,EASTERN
DETROIT PISTONS,14,68,CENTRAL,EASTERN
ORLANDO MAGIC,47,35,SOUTHEAST,EASTERN
MIAMI HEAT,46,36,SOUTHEAST,EASTERN
ATLANTA HAWKS,36,46,SOUTHEAST,EASTERN
CHARLOTTE HORNETS,21,61,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,15,67,SOUTHEAST,EASTERN
OKLAHOMA CITY THUNDER,57,25,NORTHWEST,WESTERN
DENVER NUGGETS,57,25,NORTHWEST,WESTERN
MINNESOTA TIMBERWOLVES,56,26,NORTHWEST,WESTERN
UTAH JAZZ,31,51,NORTHWEST,WESTERN
PORTLAND TRAIL BLAZERS,21,61,NORTHWEST,WESTERN
LOS ANGELES CLIPPERS,51,31,PACIFIC,WESTERN
PHOENIX SUNS,49,33,PACIFIC,WESTERN
LOS ANGELES LAKERS,47,35,PACIFIC,WESTERN
SACRAMENTO KINGS,46,36,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,46,36,PACIFIC,WESTERN
DALLAS MAVERICKS,50,32,SOUTHWEST,WESTERN
NEW ORLEANS PELICANS,49,33,SOUTHWEST,WESTERN
HOUSTON ROCKETS,41,41,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,27,55,SOUTHWEST,WESTERN
SAN ANTONIO SPURS,22,60,SOUTHWEST,WESTERN
