player_name,year,salary,player_option,team_option,guaranteed_salary
Haywood Highsmith,1,"$5,200,000",FALSE,FALSE,"$10,816,000"
Haywood Highsmith,2,"$5,616,000",FALSE,FALSE,"$10,816,000"
Matas Buzelis,1,"$5,195,520",FALSE,FALSE,"$10,651,080"
Matas Buzelis,2,"$5,455,560",FALSE,FALSE,"$10,651,080"
Matas Buzelis,3,"$5,715,360",FALSE,True,"$10,651,080"
Matas Buzelis,4,"$7,584,283",FALSE,True,"$10,651,080"
Dario Šarić,1,"$5,168,000",FALSE,FALSE,"$5,168,000"
Dario Šarić,2,"$5,426,400",True,FALSE,"$5,168,000"
Trey Murphy III,1,"$5,159,854",FALSE,True,"$5,159,854"
Ousmane Dieng,1,"$5,027,040",FALSE,True,"$5,027,040"
Ousmane Dieng,2,"$6,670,882",FALSE,True,"$5,027,040"
Dereck Lively II,1,"$5,014,560",FALSE,FALSE,"$5,014,560"
Dereck Lively II,2,"$5,253,360",FALSE,True,"$5,014,560"
Dereck Lively II,3,"$7,239,131",FALSE,True,"$5,014,560"
Andre Drummond,1,"$5,000,000",FALSE,FALSE,"$5,000,000"
Andre Drummond,2,"$5,000,000",True,FALSE,"$5,000,000"
Nick Richards,1,"$5,000,000",FALSE,FALSE,"$5,000,000"
Nick Richards,2,"$5,000,000",FALSE,FALSE,"$5,000,000"
Nikola Topić,1,"$4,935,960",FALSE,FALSE,"$10,118,880"
Nikola Topić,2,"$5,182,920",FALSE,FALSE,"$10,118,880"
Nikola Topić,3,"$5,429,760",FALSE,True,"$10,118,880"
Nikola Topić,4,"$7,482,210",FALSE,True,"$10,118,880"
Tre Mann,1,"$4,908,373",FALSE,True,"$4,908,373"
Jalen Williams,1,"$4,775,760",FALSE,True,"$4,775,760"
Jalen Williams,2,"$6,580,997",FALSE,True,"$4,775,760"
Gradey Dick,1,"$4,763,760",FALSE,FALSE,"$4,763,760"
Gradey Dick,2,"$4,990,560",FALSE,True,"$4,763,760"
Gradey Dick,3,"$7,131,511",FALSE,True,"$4,763,760"
Jalen McDaniels,1,"$4,741,800",FALSE,FALSE,"$4,741,800"
Miles McBride,1,"$4,710,144",FALSE,FALSE,"$13,000,000"
Miles McBride,2,"$4,333,333",FALSE,FALSE,"$13,000,000"
Miles McBride,3,"$3,956,523",FALSE,FALSE,"$13,000,000"
Devin Carter,1,"$4,689,000",FALSE,FALSE,"$9,612,720"
Devin Carter,2,"$4,923,720",FALSE,FALSE,"$9,612,720"
Devin Carter,3,"$5,158,080",FALSE,True,"$9,612,720"
Devin Carter,4,"$7,370,897",FALSE,True,"$9,612,720"
Nicolas Batum,1,"$4,668,000",FALSE,FALSE,"$4,668,000"
Nicolas Batum,2,"$4,901,400",True,FALSE,"$4,668,000"
Aaron Holiday,1,"$4,668,000",FALSE,FALSE,"$4,668,000"
Aaron Holiday,2,"$4,901,400",FALSE,True,"$4,668,000"
Kel'el Ware,1,"$4,655,040",FALSE,FALSE,"$9,542,760"
Kel'el Ware,2,"$4,887,720",FALSE,FALSE,"$9,542,760"
Kel'el Ware,3,"$5,120,400",FALSE,True,"$9,542,760"
Kel'el Ware,4,"$7,849,573",FALSE,True,"$9,542,760"
Jalen Duren,1,"$4,536,840",FALSE,True,"$4,536,840"
Jalen Duren,2,"$6,483,144",FALSE,True,"$4,536,840"
Jordan Hawkins,1,"$4,525,680",FALSE,FALSE,"$9,267,000"
Jordan Hawkins,2,"$4,741,320",FALSE,True,"$9,267,000"
Jordan Hawkins,3,"$7,021,895",FALSE,True,"$9,267,000"
Jalen Johnson,1,"$4,510,905",FALSE,True,"$4,510,905"
Carlton Carrington,1,"$4,454,880",FALSE,FALSE,"$9,132,480"
Carlton Carrington,2,"$4,677,600",FALSE,FALSE,"$9,132,480"
Carlton Carrington,3,"$4,900,560",FALSE,True,"$9,132,480"
Carlton Carrington,4,"$7,257,730",FALSE,True,"$9,132,480"
Isaiah Jackson,1,"$4,435,381",FALSE,True,"$4,435,381"
Nickeil Alexander-Walker,1,"$4,312,500",FALSE,FALSE,"$4,312,500"
Ochai Agbaji,1,"$4,310,280",FALSE,True,"$4,310,280"
Ochai Agbaji,2,"$6,383,525",FALSE,True,"$4,310,280"
Kobe Bufkin,1,"$4,299,000",FALSE,FALSE,"$4,299,000"
Kobe Bufkin,2,"$4,503,720",FALSE,True,"$4,299,000"
Kobe Bufkin,3,"$6,904,203",FALSE,True,"$4,299,000"
Quentin Grimes,1,"$4,296,682",FALSE,True,"$4,296,682"
Bones Hyland,1,"$4,158,439",FALSE,True,"$4,158,439"
Mark Williams,1,"$4,094,280",FALSE,True,"$4,094,280"
Mark Williams,2,"$6,276,531",FALSE,True,"$4,094,280"
Keyonte George,1,"$4,084,200",FALSE,FALSE,"$8,363,160"
Keyonte George,2,"$4,278,960",FALSE,True,"$8,363,160"
Keyonte George,3,"$6,563,925",FALSE,True,"$8,363,160"
Cam Thomas,1,"$4,041,249",FALSE,True,
Russell Westbrook,1,"$4,027,525",True,FALSE,"$4,027,525"
Jared McCain,1,"$4,020,360",FALSE,FALSE,"$8,241,720"
Jared McCain,2,"$4,221,360",FALSE,FALSE,"$8,241,720"
Jared McCain,3,"$4,422,600",FALSE,True,"$8,241,720"
Jared McCain,4,"$6,784,268",FALSE,True,"$8,241,720"
Jaden Springer,1,"$4,018,363",FALSE,True,"$4,018,363"
Dwight Powell,1,"$4,000,000",FALSE,FALSE,"$4,000,000"
Dwight Powell,2,"$4,000,000",True,FALSE,"$4,000,000"
Day'Ron Sharpe,1,"$3,989,122",FALSE,True,
Santi Aldama,1,"$3,960,531",FALSE,True,"$3,960,531"
Amir Coffey,1,"$3,938,271",FALSE,FALSE,"$3,938,271"
AJ Griffin,1,"$3,889,920",FALSE,True,"$3,889,920"
AJ Griffin,2,"$5,967,137",FALSE,True,"$3,889,920"
Jalen Hood-Schifino,1,"$3,879,840",FALSE,FALSE,"$3,879,840"
Jalen Hood-Schifino,2,"$4,064,640",FALSE,True,"$3,879,840"
Jalen Hood-Schifino,3,"$6,243,288",FALSE,True,"$3,879,840"
Kevin Love,1,"$3,850,000",FALSE,FALSE,"$8,000,000"
Kevin Love,2,"$4,150,000",FALSE,FALSE,"$8,000,000"
Dalton Knecht,1,"$3,819,120",FALSE,FALSE,"$7,829,280"
Dalton Knecht,2,"$4,010,160",FALSE,FALSE,"$7,829,280"
Dalton Knecht,3,"$4,201,080",FALSE,True,"$7,829,280"
Dalton Knecht,4,"$6,452,860",FALSE,True,"$7,829,280"
Tari Eason,1,"$3,695,160",FALSE,True,"$3,695,160"
Tari Eason,2,"$5,675,766",FALSE,True,"$3,695,160"
Jaime Jaquez Jr.,1,"$3,685,800",FALSE,FALSE,"$7,547,400"
Jaime Jaquez Jr.,2,"$3,861,600",FALSE,True,"$7,547,400"
Jaime Jaquez Jr.,3,"$5,939,141",FALSE,True,"$7,547,400"
Tristan Da Silva,1,"$3,628,440",FALSE,FALSE,"$7,437,960"
Tristan Da Silva,2,"$3,809,520",FALSE,FALSE,"$7,437,960"
Tristan Da Silva,3,"$3,991,200",FALSE,True,"$7,437,960"
Tristan Da Silva,4,"$6,138,466",FALSE,True,"$7,437,960"
Brandin Podziemski,1,"$3,519,960",FALSE,FALSE,"$3,519,960"
Brandin Podziemski,2,"$3,687,960",FALSE,True,"$3,519,960"
Brandin Podziemski,3,"$5,679,459",FALSE,True,"$3,519,960"
