start_time,away_team,away_team_score,home_team,home_team_score
2024-10-30 23:00:00+00:00,BOSTON CELTICS,,INDIANA PACERS,
2024-10-30 23:00:00+00:00,LOS ANGELES LAKERS,,CLEVELAND CAVALIERS,
2024-10-30 23:00:00+00:00,TORONTO RAPTORS,,CHARLOTTE HORNETS,
2024-10-30 23:30:00+00:00,NEW YORK KNICKS,,MIAMI HEAT,
2024-10-31 00:00:00+00:00,ORLANDO MAGIC,,CHICAGO BULLS,
2024-10-31 00:00:00+00:00,BROOKLYN NETS,,MEMPHIS GRIZZLIES,
2024-10-31 01:30:00+00:00,SAN ANTONIO SPURS,,OKLAHOMA CITY THUNDER,
2024-10-31 02:00:00+00:00,NEW ORLEANS PELICANS,,GOLDEN STATE WARRIORS,
2024-10-31 02:30:00+00:00,PORTLAND TRAIL BLAZERS,,LOS ANGELES CLIPPERS,
2024-11-01 00:00:00+00:00,MILWAUKEE BUCKS,,MEMPHIS GRIZZLIES,
2024-11-01 00:30:00+00:00,HOUSTON ROCKETS,,DALLAS MAVERICKS,
2024-11-01 01:00:00+00:00,SAN ANTONIO SPURS,,UTAH JAZZ,
2024-11-01 02:30:00+00:00,PHOENIX SUNS,,LOS ANGELES CLIPPERS,
2024-11-01 23:00:00+00:00,BOSTON CELTICS,,CHARLOTTE HORNETS,
2024-11-01 23:00:00+00:00,ORLANDO MAGIC,,CLEVELAND CAVALIERS,
2024-11-01 23:00:00+00:00,NEW YORK KNICKS,,DETROIT PISTONS,
2024-11-01 23:30:00+00:00,SACRAMENTO KINGS,,ATLANTA HAWKS,
2024-11-01 23:30:00+00:00,CHICAGO BULLS,,BROOKLYN NETS,
2024-11-01 23:30:00+00:00,LOS ANGELES LAKERS,,TORONTO RAPTORS,
2024-11-02 00:00:00+00:00,INDIANA PACERS,,NEW ORLEANS PELICANS,
2024-11-02 01:30:00+00:00,DENVER NUGGETS,,MINNESOTA TIMBERWOLVES,
2024-11-02 02:00:00+00:00,OKLAHOMA CITY THUNDER,,PORTLAND TRAIL BLAZERS,
2024-11-02 22:00:00+00:00,BOSTON CELTICS,,CHARLOTTE HORNETS,
2024-11-02 23:30:00+00:00,MEMPHIS GRIZZLIES,,PHILADELPHIA 76ERS,
2024-11-02 23:30:00+00:00,SACRAMENTO KINGS,,TORONTO RAPTORS,
2024-11-03 00:00:00+00:00,GOLDEN STATE WARRIORS,,HOUSTON ROCKETS,
2024-11-03 00:00:00+00:00,CLEVELAND CAVALIERS,,MILWAUKEE BUCKS,
2024-11-03 00:00:00+00:00,MINNESOTA TIMBERWOLVES,,SAN ANTONIO SPURS,
2024-11-03 01:30:00+00:00,MIAMI HEAT,,WASHINGTON WIZARDS,
2024-11-03 02:00:00+00:00,UTAH JAZZ,,DENVER NUGGETS,
2024-11-03 02:00:00+00:00,PORTLAND TRAIL BLAZERS,,PHOENIX SUNS,
2024-11-03 02:30:00+00:00,OKLAHOMA CITY THUNDER,,LOS ANGELES CLIPPERS,
2024-11-03 20:30:00+00:00,DETROIT PISTONS,,BROOKLYN NETS,
2024-11-04 00:00:00+00:00,ATLANTA HAWKS,,NEW ORLEANS PELICANS,
2024-11-04 00:30:00+00:00,ORLANDO MAGIC,,DALLAS MAVERICKS,
2024-11-05 00:00:00+00:00,MILWAUKEE BUCKS,,CLEVELAND CAVALIERS,
2024-11-05 00:15:00+00:00,GOLDEN STATE WARRIORS,,WASHINGTON WIZARDS,
2024-11-05 00:30:00+00:00,LOS ANGELES LAKERS,,DETROIT PISTONS,
2024-11-05 00:45:00+00:00,BOSTON CELTICS,,ATLANTA HAWKS,
2024-11-05 01:00:00+00:00,MEMPHIS GRIZZLIES,,BROOKLYN NETS,
2024-11-05 01:15:00+00:00,SACRAMENTO KINGS,,MIAMI HEAT,
2024-11-05 01:30:00+00:00,UTAH JAZZ,,CHICAGO BULLS,
2024-11-05 01:45:00+00:00,NEW YORK KNICKS,,HOUSTON ROCKETS,
2024-11-05 02:00:00+00:00,CHARLOTTE HORNETS,,MINNESOTA TIMBERWOLVES,
2024-11-05 02:15:00+00:00,ORLANDO MAGIC,,OKLAHOMA CITY THUNDER,
2024-11-05 02:30:00+00:00,PORTLAND TRAIL BLAZERS,,NEW ORLEANS PELICANS,
2024-11-05 02:45:00+00:00,INDIANA PACERS,,DALLAS MAVERICKS,
2024-11-05 03:00:00+00:00,TORONTO RAPTORS,,DENVER NUGGETS,
2024-11-05 03:15:00+00:00,PHILADELPHIA 76ERS,,PHOENIX SUNS,
2024-11-05 03:30:00+00:00,SAN ANTONIO SPURS,,LOS ANGELES CLIPPERS,
2024-11-07 00:00:00+00:00,DETROIT PISTONS,,CHARLOTTE HORNETS,
2024-11-07 00:00:00+00:00,ORLANDO MAGIC,,INDIANA PACERS,
2024-11-07 00:30:00+00:00,NEW YORK KNICKS,,ATLANTA HAWKS,
2024-11-07 00:30:00+00:00,GOLDEN STATE WARRIORS,,BOSTON CELTICS,
2024-11-07 01:00:00+00:00,SAN ANTONIO SPURS,,HOUSTON ROCKETS,
2024-11-07 01:00:00+00:00,LOS ANGELES LAKERS,,MEMPHIS GRIZZLIES,
2024-11-07 01:00:00+00:00,CLEVELAND CAVALIERS,,NEW ORLEANS PELICANS,
2024-11-07 01:30:00+00:00,CHICAGO BULLS,,DALLAS MAVERICKS,
2024-11-07 02:00:00+00:00,OKLAHOMA CITY THUNDER,,DENVER NUGGETS,
2024-11-07 02:00:00+00:00,MIAMI HEAT,,PHOENIX SUNS,
2024-11-07 03:00:00+00:00,PHILADELPHIA 76ERS,,LOS ANGELES CLIPPERS,
2024-11-07 03:00:00+00:00,TORONTO RAPTORS,,SACRAMENTO KINGS,
2024-11-08 01:00:00+00:00,MINNESOTA TIMBERWOLVES,,CHICAGO BULLS,
2024-11-08 01:00:00+00:00,UTAH JAZZ,,MILWAUKEE BUCKS,
2024-11-08 01:00:00+00:00,PORTLAND TRAIL BLAZERS,,SAN ANTONIO SPURS,
2024-11-09 00:00:00+00:00,INDIANA PACERS,,CHARLOTTE HORNETS,
2024-11-09 00:00:00+00:00,ATLANTA HAWKS,,DETROIT PISTONS,
2024-11-09 00:00:00+00:00,NEW ORLEANS PELICANS,,ORLANDO MAGIC,
2024-11-09 00:30:00+00:00,BROOKLYN NETS,,BOSTON CELTICS,
2024-11-09 00:30:00+00:00,GOLDEN STATE WARRIORS,,CLEVELAND CAVALIERS,
2024-11-09 00:30:00+00:00,PHOENIX SUNS,,DALLAS MAVERICKS,
2024-11-09 00:30:00+00:00,MILWAUKEE BUCKS,,NEW YORK KNICKS,
2024-11-09 01:00:00+00:00,WASHINGTON WIZARDS,,MEMPHIS GRIZZLIES,
2024-11-09 01:00:00+00:00,HOUSTON ROCKETS,,OKLAHOMA CITY THUNDER,
2024-11-09 02:00:00+00:00,MIAMI HEAT,,DENVER NUGGETS,
2024-11-09 02:00:00+00:00,PORTLAND TRAIL BLAZERS,,MINNESOTA TIMBERWOLVES,
2024-11-09 03:00:00+00:00,PHILADELPHIA 76ERS,,LOS ANGELES LAKERS,
2024-11-09 03:00:00+00:00,LOS ANGELES CLIPPERS,,SACRAMENTO KINGS,
2024-11-09 22:00:00+00:00,UTAH JAZZ,,SAN ANTONIO SPURS,
2024-11-10 00:30:00+00:00,CHICAGO BULLS,,ATLANTA HAWKS,
2024-11-10 00:30:00+00:00,BROOKLYN NETS,,CLEVELAND CAVALIERS,
2024-11-10 03:30:00+00:00,TORONTO RAPTORS,,LOS ANGELES CLIPPERS,
2024-11-10 20:00:00+00:00,HOUSTON ROCKETS,,DETROIT PISTONS,
2024-11-10 20:30:00+00:00,BOSTON CELTICS,,MILWAUKEE BUCKS,
